mass_kg,alt_m,A_inf_m2,D_nominal_m,v_land_ms,v_terminal_ms,pack_vol_m3,pack_wt_kg
40.0,300.0,17.0806,4.663,5.0,5.072,0.00058,0.864
40.0,471.42857142857144,17.0802,4.663,5.0,5.115,0.00058,0.864
40.0,642.8571428571429,17.0807,4.663,5.0,5.158,0.00058,0.864
40.0,814.2857142857142,17.0806,4.663,5.0,5.201,0.00058,0.864
40.0,985.7142857142857,17.0807,4.663,5.0,5.245,0.00058,0.864
40.0,1157.142857142857,17.0803,4.663,5.0,5.289,0.00058,0.864
40.0,1328.5714285714284,17.0807,4.663,4.9999,5.334,0.00058,0.864
40.0,1500.0,17.0807,4.663,5.0,5.38,0.00058,0.864
57.14285714285714,300.0,24.3997,5.574,5.0001,5.073,0.00099,1.235
57.14285714285714,471.42857142857144,24.3999,5.574,5.0001,5.115,0.00099,1.235
57.14285714285714,642.8571428571429,24.4004,5.574,5.0,5.158,0.00099,1.235
57.14285714285714,814.2857142857142,24.4001,5.574,5.0,5.201,0.00099,1.235
57.14285714285714,985.7142857142857,24.4,5.574,5.0001,5.245,0.00099,1.235
57.14285714285714,1157.142857142857,24.4001,5.574,5.0001,5.289,0.00099,1.235
57.14285714285714,1328.5714285714284,24.4005,5.574,5.0,5.334,0.00099,1.235
57.14285714285714,1500.0,24.4001,5.574,5.0,5.38,0.00099,1.235
74.28571428571428,300.0,31.7211,6.355,5.0,5.072,0.00146,1.605
74.28571428571428,471.42857142857144,31.7205,6.355,5.0,5.115,0.00146,1.605
74.28571428571428,642.8571428571429,31.7203,6.355,5.0,5.158,0.00146,1.605
74.28571428571428,814.2857142857142,31.7204,6.355,5.0,5.201,0.00146,1.605
74.28571428571428,985.7142857142857,31.7208,6.355,5.0,5.245,0.00146,1.605
74.28571428571428,1157.142857142857,31.7202,6.355,5.0001,5.289,0.00146,1.605
74.28571428571428,1328.5714285714284,31.7212,6.355,5.0,5.334,0.00146,1.605
74.28571428571428,1500.0,31.7201,6.355,5.0,5.38,0.00146,1.605
91.42857142857143,300.0,39.0402,7.05,5.0001,5.073,0.002,1.975
91.42857142857143,471.42857142857144,39.0414,7.05,5.0,5.115,0.002,1.975
91.42857142857143,642.8571428571429,39.0415,7.05,5.0,5.158,0.002,1.975
91.42857142857143,814.2857142857142,39.0401,7.05,5.0,5.201,0.002,1.975
91.42857142857143,985.7142857142857,39.0407,7.05,5.0,5.245,0.002,1.975
91.42857142857143,1157.142857142857,39.0403,7.05,5.0001,5.289,0.002,1.975
91.42857142857143,1328.5714285714284,39.0402,7.05,5.0,5.334,0.002,1.975
91.42857142857143,1500.0,39.0406,7.05,5.0,5.38,0.002,1.975
108.57142857142857,300.0,46.3636,7.683,4.9999,5.072,0.00258,2.346
108.57142857142857,471.42857142857144,46.359,7.683,5.0001,5.115,0.00258,2.346
108.57142857142857,642.8571428571429,46.3589,7.683,5.0001,5.158,0.00258,2.346
108.57142857142857,814.2857142857142,46.3593,7.683,5.0001,5.201,0.00258,2.346
108.57142857142857,985.7142857142857,46.3591,7.683,5.0001,5.245,0.00258,2.346
108.57142857142857,1157.142857142857,46.3594,7.683,5.0001,5.289,0.00258,2.346
108.57142857142857,1328.5714285714284,46.3592,7.683,5.0001,5.334,0.00258,2.346
108.57142857142857,1500.0,46.3586,7.683,5.0001,5.38,0.00258,2.346
125.71428571428571,300.0,53.6802,8.267,5.0001,5.073,0.00322,2.716
125.71428571428571,471.42857142857144,53.6796,8.267,5.0001,5.115,0.00322,2.716
125.71428571428571,642.8571428571429,53.6795,8.267,5.0001,5.158,0.00322,2.716
125.71428571428571,814.2857142857142,53.6801,8.267,5.0001,5.201,0.00322,2.716
125.71428571428571,985.7142857142857,53.6786,8.267,5.0001,5.245,0.00322,2.716
125.71428571428571,1157.142857142857,53.6829,8.267,4.9999,5.289,0.00322,2.716
125.71428571428571,1328.5714285714284,53.6799,8.267,5.0001,5.334,0.00322,2.716
125.71428571428571,1500.0,53.6802,8.267,5.0,5.38,0.00322,2.716
142.85714285714286,300.0,61.0018,8.813,5.0,5.072,0.0039,3.087
142.85714285714286,471.42857142857144,61.0007,8.813,5.0001,5.115,0.0039,3.087
142.85714285714286,642.8571428571429,61.0001,8.813,5.0001,5.158,0.0039,3.087
142.85714285714286,814.2857142857142,61.0001,8.813,5.0001,5.201,0.0039,3.087
142.85714285714286,985.7142857142857,61.0005,8.813,5.0001,5.245,0.0039,3.087
142.85714285714286,1157.142857142857,61.0015,8.813,5.0,5.289,0.0039,3.087
142.85714285714286,1328.5714285714284,61.0009,8.813,5.0,5.334,0.0039,3.087
142.85714285714286,1500.0,61.0008,8.813,5.0,5.38,0.0039,3.087
160.0,300.0,68.3223,9.327,5.0,5.072,0.00462,3.457
160.0,471.42857142857144,68.3211,9.327,5.0,5.115,0.00462,3.457
160.0,642.8571428571429,68.3207,9.327,5.0,5.158,0.00462,3.457
160.0,814.2857142857142,68.3208,9.327,5.0,5.201,0.00462,3.457
160.0,985.7142857142857,68.3217,9.327,5.0,5.245,0.00462,3.457
160.0,1157.142857142857,68.3205,9.327,5.0001,5.289,0.00462,3.457
160.0,1328.5714285714284,68.3225,9.327,5.0,5.334,0.00462,3.457
160.0,1500.0,68.3202,9.327,5.0,5.38,0.00462,3.457
