v_deploy,t_infl,CLA,F_peak_N,v_terminal
10.0,0.5,2.974,12397.5,4.338
10.0,0.729,2.8011,11676.8,4.338
10.0,0.958,2.6434,11019.1,4.338
10.0,1.188,2.4994,10419.1,4.338
10.0,1.417,2.3681,9871.6,4.338
10.0,1.646,2.2483,9372.1,4.338
10.0,1.875,2.1389,8916.3,4.338
10.0,2.104,2.0392,8500.4,4.338
10.0,2.333,1.9481,8121.0,4.338
10.0,2.562,1.8651,7774.8,4.338
10.0,2.792,1.7893,7458.9,4.338
10.0,3.021,1.7202,7170.7,4.338
10.0,3.25,1.6571,6907.8,4.338
10.0,3.479,1.5995,6667.8,4.338
10.0,3.708,1.547,6448.9,4.338
10.0,3.938,1.4991,6249.2,4.338
10.0,4.167,1.4554,6067.0,4.338
10.0,4.396,1.4155,5900.7,4.338
10.0,4.625,1.3791,5749.0,4.338
10.0,4.854,1.3459,5610.5,4.338
10.0,5.083,1.3156,5484.2,4.338
10.0,5.312,1.288,5369.0,4.338
10.0,5.542,1.2627,5263.9,4.338
10.0,5.771,1.2457,5192.8,4.338
10.0,6.0,1.2409,5172.7,4.338
12.08,0.5,3.1092,18924.0,4.338
12.08,0.729,2.9245,17799.6,4.338
12.08,0.958,2.7559,16773.6,4.338
12.08,1.188,2.6021,15837.5,4.338
12.08,1.417,2.4618,14983.4,4.338
12.08,1.646,2.3337,14204.1,4.338
12.08,1.875,2.2169,13493.1,4.338
12.08,2.104,2.1103,12844.3,4.338
12.08,2.333,2.0131,12252.4,4.338
12.08,2.562,1.9243,11712.3,4.338
12.08,2.792,1.8434,11219.5,4.338
12.08,3.021,1.7695,10769.9,4.338
12.08,3.25,1.7021,10359.7,4.338
12.08,3.479,1.6406,9985.4,4.338
12.08,3.708,1.5845,9643.9,4.338
12.08,3.938,1.5333,9332.3,4.338
12.08,4.167,1.4866,9048.0,4.338
12.08,4.396,1.444,8788.6,4.338
12.08,4.625,1.4051,8551.9,4.338
12.08,4.854,1.3696,8335.9,4.338
12.08,5.083,1.3608,8282.5,4.338
12.08,5.312,1.3548,8246.1,4.338
12.08,5.542,1.3491,8211.3,4.338
12.08,5.771,1.3437,8178.1,4.338
12.08,6.0,1.3384,8146.3,4.338
14.17,0.5,3.23,27022.4,4.338
14.17,0.729,3.0346,25388.2,4.338
14.17,0.958,2.8564,23897.3,4.338
14.17,1.188,2.6938,22536.9,4.338
14.17,1.417,2.5455,21295.7,4.338
14.17,1.646,2.4101,20163.1,4.338
14.17,1.875,2.2866,19129.8,4.338
14.17,2.104,2.1739,18187.0,4.338
14.17,2.333,2.0711,17326.8,4.338
14.17,2.562,1.9772,16541.9,4.338
14.17,2.792,1.8917,15825.8,4.338
14.17,3.021,1.8136,15172.4,4.338
14.17,3.25,1.7423,14576.3,4.338
14.17,3.479,1.6773,14032.3,4.338
14.17,3.708,1.618,13536.0,4.338
14.17,3.938,1.5638,13083.2,4.338
14.17,4.167,1.5144,12670.0,4.338
14.17,4.396,1.4714,12310.2,4.338
14.17,4.625,1.464,12247.8,4.338
14.17,4.854,1.4569,12188.8,4.338
14.17,5.083,1.4502,12132.7,4.338
14.17,5.312,1.4438,12079.3,4.338
14.17,5.542,1.4377,12028.4,4.338
14.17,5.771,1.4319,11979.7,4.338
14.17,6.0,1.4264,11933.2,4.338
16.25,0.5,3.3397,36762.0,4.338
16.25,0.729,3.1347,34506.2,4.338
16.25,0.958,2.9477,32447.9,4.338
16.25,1.188,2.7771,30569.9,4.338
16.25,1.417,2.6215,28856.5,4.338
16.25,1.646,2.4795,27293.1,4.338
16.25,1.875,2.3499,25866.6,4.338
16.25,2.104,2.2316,24565.1,4.338
16.25,2.333,2.1238,23377.6,4.338
16.25,2.562,2.0253,22294.1,4.338
